Penetration,UCS,BTS,Thrust,Torque,CL,Alpha,FS,B1,B2,B3,B4,B5,Bi,SE,TqDTh
5.334,159.2688932,8.756341746,15251.54178,1508.767766,254.192363,78,0.8,18.18897638,0.895773492,84.01261746,697.306429,26.40656034,3.959577754,45399.46846,0.09892559
3.81,160.3031068,8.963184464,17154.07285,1369.693385,285.9012141,26,0.8,17.88461538,0.894093686,84.63314561,718.413158,26.80323037,3.970622521,57700.52504,0.079846541
4.572,159.5446835,9.307922328,13113.73538,1011.456456,218.5622563,20,0.4,17.14074074,0.889750919,84.42630289,742.5147607,27.24912404,3.973408548,35507.68443,0.077129546
3.81,153.7530873,9.618186406,16893.40261,1400.940921,281.5567102,52,0.8,15.98566308,0.88225364,81.68563687,739.4129273,27.19214826,3.943307282,59016.87749,0.082928286
3.048,154.4425631,10.10081942,17136.60913,1425.601893,285.6101522,52,2,15.29010239,0.877226063,82.27169124,779.9982198,27.92844822,3.957396638,75069.70052,0.083190431
3.048,157.8899417,10.19045126,17675.89817,1315.655905,294.5983029,10,1.6,15.49391069,0.878743129,84.04019649,804.4848777,28.36344263,3.981056002,69280.13719,0.074432195
4.826,160.3031068,10.14908272,13053.84897,1233.769924,217.5641495,70,0.1,15.79483696,0.880915784,85.22609474,813.4647451,28.52130336,3.995368345,41032.52512,0.094513881
3.556,163.1989048,9.85950291,12270.3837,1016.022851,204.506395,21,0.8,16.55244755,0.886055777,86.52920386,804.5300385,28.36423873,4.007486435,45858.84429,0.082802859
3.048,164.302066,9.63197592,16543.72347,1230.864406,275.7287244,4,0.4,17.05798139,0.88924565,86.96702095,791.2767716,28.12964222,4.009558234,64815.16529,0.074400688
4.064,166.3704932,9.762976308,14461.12394,1290.491924,241.0187323,74,0.4,17.04096045,0.889141157,88.06673474,812.1355916,28.49799276,4.02483599,50966.28449,0.089238702
3.81,173.0584077,9.804344852,14006.19542,1457.91917,233.4365903,33,0.8,17.6511955,0.892768268,91.43137629,848.3621545,29.12665711,4.065548111,61417.17739,0.10409102
2.794,173.0584077,9.825029124,14356.15481,1097.804433,239.2692468,11,0.8,17.61403509,0.892554194,91.44171843,850.151948,29.15736525,4.065976537,63063.77455,0.076469253
3.81,174.0926213,9.96292427,17083.57298,1585.717213,284.7262164,37,0.8,17.47404844,0.891740026,92.02777279,867.2358011,29.44886757,4.074876329,66800.87442,0.092821169
3.81,174.4373592,10.06634563,15068.17274,1340.346705,251.1362124,4,0.1,17.32876712,0.890881913,92.25185241,877.9733741,29.63061549,4.078997768,56464.24922,0.088952173
3.81,175.1268349,10.20424077,17479.28678,1306.69666,291.3214463,56,0.4,17.16216216,0.889880952,92.66553784,893.5181948,29.8917747,4.085800992,55046.68722,0.074756864
3.302,175.9542058,10.34213592,13977.77128,935.5252277,232.9628547,71,2,17.01333333,0.888971132,93.14817085,909.871156,30.16407061,4.093364559,45473.65022,0.066929499
3.81,176.7815767,10.54897864,18274.32632,1451.755621,304.5721053,88,1.6,16.75816993,0.887375782,93.66527765,932.4325379,30.53575835,4.102227781,61157.52805,0.079442361
3.81,176.7815767,10.54897864,18274.32632,1451.755621,304.5721053,77,1.6,16.75816993,0.887375782,93.66527765,932.4325379,30.53575835,4.102227781,61157.52805,0.079442361
4.318,176.9194718,10.54897864,17275.20237,1627.167279,287.9200395,89,0.4,16.77124183,0.887458624,93.73422522,933.1598644,30.54766545,4.103027513,60482.66891,0.094190924
3.302,175.8163106,10.54897864,17108.96343,1084.921451,285.1493905,66,2,16.66666667,0.886792453,93.18264464,927.3412526,30.45227828,4.096616513,52735.44435,0.06341246
3.048,175.1957825,10.53518912,15016.93812,1184.072417,250.2823021,79,2,16.62958115,0.88655431,92.8654858,922.8603511,30.37861668,4.092729375,62351.18105,0.078849124
4.318,173.0584077,10.54897864,15558.68703,1480.21424,259.3114506,63,1.6,16.40522876,0.885092002,91.80369318,912.7947232,30.21249283,4.080455975,55020.34667,0.095137478
4.318,156.8557281,10.6524,14816.79484,1416.177603,246.9465807,51,0.8,14.72491909,0.872813336,83.75406406,835.4449789,28.90406509,3.983340841,52640.07097,0.095579214
4.064,150.6504466,10.79029514,17230.18637,1360.66906,287.1697728,81,1.6,13.96166134,0.866325005,80.72037086,812.781391,28.50932112,3.94588362,53737.83839,0.078970072
4.064,147.5478058,10.8454532,16709.13948,1491.647853,278.485658,44,2,13.60457724,0.863056632,79.1966295,800.1114113,28.28624067,3.92640934,58910.67386,0.089271375
3.556,146.9962252,10.82476893,13258.21806,1068.09575,220.970301,86,2,13.57961783,0.862822193,78.91049707,795.6000857,28.20638378,3.922360235,48209.18808,0.080561034
4.064,145.5483262,10.72134757,19160.88357,1621.482335,319.3480596,72,1.6,13.5755627,0.862784028,78.13483688,780.2370966,27.93272448,3.910787988,64038.3163,0.084624612
3.81,144.7899029,10.6524,18140.15906,1416.085407,302.3359843,70,2,13.59223301,0.862940785,77.72115144,771.1799805,27.77012749,3.90442372,59654.86321,0.078063561
4.318,140.6530485,10.34213592,16736.27363,1520.57694,278.9378939,68,1.6,13.6,0.863013699,75.49759222,727.3264726,26.96899095,3.870506485,56520.64959,0.090855167
3.302,125.4845825,10.30766213,12397.12243,1067.613079,206.6187071,70,2,12.17391304,0.848184818,67.89612231,646.7263397,25.43081477,3.761019639,51894.12567,0.086117814
3.048,123.0714174,10.16976699,16170.41536,1091.768332,269.5069227,10,0.8,12.10169492,0.847347995,66.62059222,625.8038192,25.01607122,3.740286336,57490.60946,0.067516406
4.572,122.2440466,10.14908272,18918.89142,1570.986251,315.314857,57,0.8,12.04483696,0.846682637,66.19656465,620.3324701,24.90647446,3.733604136,55150.25757,0.083037965
3.81,121.692466,10.10081942,14823.76076,1283.508105,247.0626793,36,0.8,12.04778157,0.846717238,65.8966427,614.5968116,24.79106314,3.728496616,54069.83228,0.086584513
3.556,121.6235184,9.85950291,14725.98885,1293.992645,245.4331474,56,0.8,12.33566434,0.850026219,65.74151066,599.5737169,24.48619441,3.723463849,58405.18961,0.087871359
